restaurant_name,n_reviews,average_rating,restaurant_address,zip_code,price_level,restaurant_url,Take_out,Credit_Cards,Reservations,Outdoor,Pets,Walkins,Parkings,Delivery,Wheelchair,Group,Vegetarian,Casual,Classy,Catering,Cuisine_1,Cuisine_2,Cuisine_3
Moo Moo’s Steakhouse,18,4.2,"8695 Jack Carnes Wy Ste 1 French Lick, IN 47432",47432,0,https://www.yelp.com/biz/moo-moo-s-steakhouse-french-lick?osq=Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Steakhouses,,
German Cafe,275,4.2,"452 S Maple St French Lick, IN 47432",47432,2,https://www.yelp.com/biz/german-cafe-french-lick?osq=Restaurants,1,0,1,1,0,0,1,1,0,0,1,0,0,0,German,Salad,Soup
Hagen's Club House Restaurant,87,3.8,"1917 Country Club Dr The Donald Ross Course French Lick, IN 47432",47432,2,https://www.yelp.com/biz/hagens-club-house-restaurant-french-lick?osq=Restaurants,1,0,1,1,0,1,0,0,0,0,1,0,0,0,American,Seafood,Steakhouses
Dairy Queen Grill & Chill,17,1.8,"8493 W State Road 56 French Lick, IN 47432",47432,1,https://www.yelp.com/biz/dairy-queen-grill-and-chill-french-lick-7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Fast Food,Ice Cream & Frozen Yogurt,Burgers
Mulligan's,4,4.5,"4120 N Mt Carmel Rd Rolling Meadows Golf Club Gosport, IN 47433",47433,0,https://www.yelp.com/biz/mulligans-gosport?osq=Restaurants,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Sports Bars,American,
Casey's,4,3.3,"715 W Main St Jasonville, IN 47438",47438,2,https://www.yelp.com/biz/caseys-jasonville-2?osq=Restaurants,1,1,0,1,0,0,1,1,0,0,0,0,0,0,Pizza,,
Pizza Villa II,6,4.2,"101 E Main St Jasonville, IN 47438",47438,0,https://www.yelp.com/biz/pizza-villa-ii-jasonville-2?osq=Restaurants,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Pizza,,
Jacks Place,8,3.9,"270 E Main St Jasonville, IN 47438",47438,2,https://www.yelp.com/biz/jacks-place-jasonville?osq=Restaurants,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Sandwiches,Chicken Wings,
La Fiesta Mexican Restaurant,17,3.6,"1600 A St Ne Linton, IN 47441",47441,0,https://www.yelp.com/biz/la-fiesta-mexican-restaurant-linton?osq=Restaurants,1,1,1,0,0,0,0,0,0,0,0,0,1,1,Mexican,,
Taco Bell,15,1.8,"1459 North East A Street Linton, IN 47441",47441,1,https://www.yelp.com/biz/taco-bell-linton,1,1,0,1,1,0,0,1,0,0,1,1,0,1,Fast Food,Mexican,
