zip,primary_city,county
47943,Fair Oaks,Jasper County
47944,Fowler,Benton County
47946,Francesville,Pulaski County
47948,Goodland,Newton County
47949,Hillsboro,Fountain County
47950,Idaville,White County
47951,Kentland,Newton County
47952,Kingman,Fountain County
47954,Ladoga,Montgomery County
47955,Linden,Montgomery County
47957,Medaryville,Pulaski County
47958,Mellott,Fountain County
47959,Monon,White County
47960,Monticello,White County
47962,Montmorenci,Tippecanoe County
47963,Morocco,Newton County
47964,Mount Ayr,Newton County
47965,New Market,Montgomery County
47966,Newport,Vermillion County
47967,New Richmond,Montgomery County
47968,New Ross,Montgomery County
47969,Newtown,Fountain County
47970,Otterbein,Benton County
47971,Oxford,Benton County
47974,Perrysville,Vermillion County
47975,Pine Village,Warren County
47977,Remington,Jasper County
47978,Rensselaer,Jasper County
47980,Reynolds,White County
47981,Romney,Tippecanoe County
47982,State Line,Warren County
47983,Stockwell,Tippecanoe County
47984,Talbot,Benton County
47986,Templeton,Benton County
47987,Veedersburg,Fountain County
47988,Wallace,Fountain County
47989,Waveland,Montgomery County
47990,Waynetown,Montgomery County
47991,West Lebanon,Warren County
47992,Westpoint,Tippecanoe County
47993,Williamsport,Warren County
47994,Wingate,Montgomery County
47995,Wolcott,White County
47996,West Lafayette,Tippecanoe County
47997,Yeoman,Carroll County
